time,waiting_passenger_cnt,fail_passenger_cnt,empty_vehicle_cnt,driving_vehicle_cnt
1330,0,0,35,45
1331,0,0,32,48
1332,0,0,30,50
1333,0,0,31,49
1334,0,0,34,46
1335,0,0,33,47
1336,0,0,36,44
1337,0,0,41,39
1338,0,0,38,42
1339,0,0,37,43
1340,0,0,33,47
1341,0,0,35,45
1342,0,0,32,48
1343,0,0,35,45
1344,0,0,33,47
1345,0,0,28,52
1346,0,0,30,50
1347,0,0,33,47
1348,0,0,30,50
1349,0,0,30,50
1350,0,0,34,46
1351,0,0,33,47
1352,0,0,34,46
1353,0,0,34,46
1354,0,0,32,48
1355,0,0,30,50
1356,0,0,30,50
1357,0,0,27,53
1358,0,0,31,49
1359,0,0,30,50
1360,0,0,26,54
1361,0,0,23,57
1362,0,0,17,63
1363,0,0,18,62
1364,0,0,19,61
1365,0,0,18,62
1366,0,0,16,64
1367,0,0,21,59
1368,0,0,18,62
1369,0,0,15,65
1370,0,0,18,62
1371,0,0,17,63
1372,0,0,16,64
1373,0,0,17,63
1374,0,0,20,60
1375,0,0,19,61
1376,0,0,21,59
1377,0,0,16,64
1378,0,0,16,64
1379,0,0,14,66
1380,0,0,15,65
1381,0,0,13,67
1382,0,0,11,69
1383,0,0,13,67
1384,0,0,11,69
1385,0,0,15,65
1386,0,0,15,65
1387,0,0,13,67
1388,0,0,10,70
1389,0,0,8,72
1390,0,0,7,73
1391,0,0,9,71
1392,0,0,13,67
1393,0,0,16,64
1394,0,0,18,62
1395,0,0,21,59
1396,0,0,21,59
1397,0,0,22,58
1398,0,0,23,57
1399,0,0,24,56
1400,0,0,25,55
1401,0,0,26,54
1402,0,0,26,54
1403,0,0,30,50
1404,0,0,28,52
1405,0,0,28,52
1406,0,0,34,46
1407,0,0,35,45
1408,0,0,38,42
1409,0,0,37,43
1410,0,0,38,42
1411,0,0,37,43
1412,0,0,38,42
1413,0,0,34,46
1414,0,0,34,46
1415,0,0,35,45
1416,0,0,32,48
1417,0,0,27,53
1418,0,0,25,55
1419,0,0,26,54
1420,0,0,26,54
1421,0,0,22,58
1422,0,0,24,56
1423,0,0,26,54
1424,0,0,31,49
1425,0,0,27,53
1426,0,0,24,56
1427,0,0,24,56
1428,0,0,18,62
1429,0,0,16,64
1430,0,0,16,64
1431,0,0,19,61
1432,0,0,17,63
1433,0,0,16,64
1434,0,0,16,64
1435,0,0,16,64
1436,2,0,0,59
1437,4,0,0,54
1438,8,0,0,51
1439,10,0,0,46
